Head orientation ,Head orientation (optionals),Torso orientation ,Torso orientation (optional),Arms/Hands ,Arms/Hands (optionals),Facial affect ,Facial affect (optionals),Proxemics ,Proxemics (optionals),Paradigm,Unnamed: 3,Nationality
Tracking,,Tracking,,Back,,Neutral,,Comfortable,,F,,Italian
Tracking,,Neutral,,Crossed,,Neutral,,Comfortable,,F,,German
Tracking,,Neutral,Tracking,Back,"Self-touch, Fidgeting",Smile,,Comfortable,,F,,Italian
Tracking,Neutral,Neutral,Tracking,Crossed,,Smile,,Comfortable,,F,,German
Tracking,Neutral,Neutral,,Neutral/Side,Back,Neutral,Smile,Comfortable,,F,,German
Neutral,Tracking,Neutral,,Neutral/Side,"Self-touch, Back",Neutral,Frown,Comfortable,,F,,German
Tracking,,Neutral,,Neutral/Side,,Neutral,Smile,Comfortable,,F,,German
Tracking,,Tracking,,Crossed,,Smile,,Comfortable,,F,,Italian
Tracking,,Tracking,,Crossed,,Neutral,,Comfortable,,F,,Italian
Tracking,Away,Neutral,,Crossed,,Neutral,Smile,Comfortable,,F,,German
Tracking,Away,Neutral,Tracking,Crossed,Self-touch,Smile,,Comfortable,,F,,Italian
Tracking,,Tracking,,Neutral/Side,,Neutral,"Smile, Frown, Raised brows",Comfortable,,F,,German
Tracking,,Neutral,,Crossed,,Smile,,Comfortable,,F,,Italian
Tracking,,Neutral,,Crossed,,Neutral,"Smile, Raised brows",Comfortable,,F,,Italian
Tracking,,Neutral,,Neutral/Side,,Neutral,Smile,Comfortable,,F,,German
Tracking,,Neutral,,Back,"Fidgeting, Neutral/Side",Neutral,"Smile, Raised brows",Comfortable,,F,,German
Tracking,,Tracking,,Neutral/Side,,Smile,,Comfortable,,F,,German
Tracking,,Neutral,,Neutral/Side,Self-touch,Smile,,Comfortable,,F,,German
Tracking,,Neutral,,Neutral/Side,,Neutral,Smile,Comfortable,,F,,Italian
Tracking,,Tracking,,Neutral/Side,,Smile,Neutral,Comfortable,,F,,German
Tracking,,Tracking,,Back,,Smile,,Comfortable,,F,,German
Tracking,Away,Neutral,,Back,,Neutral,,Comfortable,,F,,German
Tracking,,Neutral,,Neutral/Side,Self-touch,Neutral,Smile,Comfortable,,F,,Italian
Tracking,,Neutral,,Back,,Neutral,Smile,Comfortable,,F,,German
Tracking,,Neutral,,Back,,Raised brows,"Smile, Frown",Comfortable,,F,,German
Tracking,,Neutral,,Back,,Neutral,Smile,Comfortable,,F,,Italian
Tracking,Away,Neutral,,Neutral/Side,"Crossed, Self-touch",Smile,,Comfortable,,F,,German
Tracking,,Neutral,,Neutral/Side,,Neutral,Smile,Comfortable,,F,,German
Tracking,,Tracking,,Back,Neutral/Side,Neutral,Smile,Comfortable,,F,,Italian
Tracking,,Neutral,,Neutral/Side,,Neutral,,Comfortable,,F,,German
Tracking,,Tracking,,Self-touch,Back,Smile,Raised brows,Comfortable,,F,,Italian
Tracking,,Neutral,,Neutral/Side,Self-touch,Smile,,Comfortable,,F,,German
Tracking,,Neutral,,Neutral/Side,Self-touch,Smile,"Neutral, Frown",Comfortable,,F,,German
Tracking,,Neutral,,Back,Self-touch,Neutral,"Frown, Raised brows",Comfortable,,F,,German
Tracking,,Tracking,,Neutral/Side,,Neutral,Smile,Comfortable,,F,,German
Tracking,,Tracking,,Crossed,,Smile,,Comfortable,,F,,Italian
Tracking,,Neutral,,Crossed,,Smile,Neutral,Comfortable,,F,,Italian
Away,Tracking,Neutral,,Neutral/Side,,Neutral,"Smile, Raised brows",Comfortable,,F,,German
Tracking,,Tracking,,Neutral/Side,,Smile,Frown,Comfortable,,F,,Italian
Tracking,,Neutral,,Neutral/Side,,Neutral,,Comfortable,,F,,German
Tracking,,Neutral,,Back,,Neutral,,Comfortable,,F,,German
